ID	Name	LongName	Description	AddressLine1	AddressLine2	State	Zipcode	Country	Longitude	Latitude
10109	UConn-OSG	University of Connecticut	University of Connecticut at Storrs	2152 Hillside Road	NULL	CT	06269-3046	USA	-72.217941	41.777201
10110	uva-cms	University of Virginia - High Energy Physics - T3	NULL	NULL	NULL	Va	22033	USA	-78.520027	38.034546
10111	GridUNESP	NULL	NULL	Rua Dr Bento Teobaldo Ferraz, 271	Barra Funda	São Paulo	01140-070	Brazil	-46.665443	-23.524246
10112	Baylor University Tier3	Baylor University T3	Baylor University T3 CMS Cluster	1111 South University Parks Drive	NULL	TX	76706	USA	-97.118368	31.551111
10113	School of Physics and Astronomy	University of Minnesota School of Physics and Astronomy	NULL	Tate Lab of Physics	116 Church Street Se	Minnesota	55455	USA	-93.264999	44.988841
10114	Tufts	NULL	Shared Linux Cluster	169 Holland Street	Tufts University	MA	02155	USA	-71.11948	42.40546
10115	Tufts_ATLAS_Tier3	NULL	Shared Linux Cluster	169 Holland Street	Tufts University	MA	02155	USA	-71.11948	42.40546
10116	Princeton_ICSE	NULL	CMS Tier3 site	NULL	NULL	NJ	08544	USA	-74.653473	40.340526
10117	TAMU Academy	TAMU Academy for Advanced Telecommunications and Learning Technologies	NULL	NULL	NULL	Texas	77843-3139	USA	-96.342672	30.619803
10118	OSG Security Services	OSG Security Services	NULL	NULL	NULL	In	47404	USA	-86.539629	39.180061
10119	Bellarmine University	Bellarmine University	Bellarmine University ATLAS Tier3 Site	Department of Physics	Bellarmine University	Kentucky	40205	USA	-85.703713	38.219681
10120	Beocat	NULL	The Beocat compute cluster at Kansas State University	114 Nichols Hall	Kansas State University	KS	66506	US	-96.58088	39.186514
10121	Penn ATLAS Tier 3	NULL	NULL	NULL	NULL	PA	19104	USA	-75.171847	39.949424
10122	ANL ASC	Argonne National Lab Analysis Support Center	Argonne National Lab Analysis Support Center	Building 360	ANL	Illinois	60439	USA	-87.975157	41.705917
10123	Brandeis Tier 3	Brandeis Tier 3	Brandeis Tier 3	Brandeis Physics Dept MS 057	415 South St	Massachusetts	02454	USA	-71.242218	42.381372
10124	SBU Atlas Tier3	NULL	Stony Brook Atlas Tier3 Cluster	Physics Building, room D-132	Stony Brook University	New York	11794-3800	USA	-73.126116	40.916269
10125	Livermore Computing	NULL	Computing Center for LLNL	7000 East Avenue	NULL	CA	94550	US	-121.70445	37.68691
10126	UCIT3	ATLAS UC Irvine Tier-3	ATLAS UC Irvine Tier-3	University of California Irvine	NULL	CA	92697-4575	U.S.A	-117.840128	33.643474
10127	VT_OSG	NULL	NULL	NULL	NULL	Virginia	24061-0435	USA	-80.41342	37.203774
10128	Harvard University USATLAS Tier 3	NULL	Harvard University USATLAS Tier 3	18 Hammond Street	NULL	MA	02138	USA	-71.115714	42.380643
10129	Indiana University Physics	NULL	Indiana University Physics tier 3 cluster.	727 E 3rd St	Swain Hall West 117	Indiana	47405-7105	USA	-86.524579	39.16474
10130	UC Santa Cruz ATLAS Tier-3	NULL	NULL	University of California	1156 High St	CA	95064	USA	-122.061303	37.000779
10131	USCMS-FNAL-XEN	NULL	Single virtual xen node for Tier 3 support	NULL	NULL	IL	60510	US	-88.26188	41.838411
